name;inventoryNumber;manufacturer;articleType;description;inspectionInterval;value;serialNumber;din;specification;manufacturingDate;warehouse;deviceClass;deviceSubclass;designationLB;commissionedDate;decommissionedDate;communityInventoryNumber;mpFeuerInventoryNumber;retirementPeriodMonths;pruefgrundsaetze
Leichensack;120082;;;;0;;;;;1999;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Verbandkasten K;120083;;;;0;;;;;1999;LF8;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Verbandskasten klein;120084;;;;0;;;;;;GH;Erste Hilfe & Hygiene;Sanitäts- & Wiederbelebungsgeräte;LB12;;;;;;
Arbeitsstellenscheinwerfer;120085;Bosch;;;12;;7 782 42 0022;DIN SBFV200;12V;1988;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Scheinwerfer-Verlängerung;120086;;;Zubehör Fahrzeug;;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Überlandkompressorhörner;120087;;;Zubehör Fahrzeug;;;;;;1980;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Stabblitzleuchte;13192;Horizont Signale;Lk- Blitz- Stableuchte;;12;;167 620;;;2004;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Stabblitzleuchte;13193;Horizont Signale;Lk- Blitz- Stableuchte;;12;;167 646;;;2004;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Stabblitzleuchte;120088;Ziegler;20 593;;12;;16631;;;2000;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Elektronenblitzleuchte;13195;Nissen;Star Blitz 410;;12;;;;;2000;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handlautsprecher;120089;TOA Electric;ER 308;;12;;564184;;16W;1988;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Verkehrswarngerät;120090;Boese;TRI-BLITZ 2;;12;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Geräte Verkehrssicherung;LB12;;;;;;
Verkehrsleitkegel;120091;;;;;;;;;1999;LF8;Signal- & Beleuchtungsgeräte;Geräte Verkehrssicherung;LB12;;;;;;
Kompressor für Überlandhorn;120092;;;Zubehör Fahrzeug;;;;;;1980;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;13219;Bosch;HKEB 100 G;;;;79057;DIN 14 642;NI-Cd;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;13220;Bosch;HKEB 100-EN;;;;;DIN 14 642;NI-Cd;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;WA 1;Bosch;HSEL 7;;12;;935925;DIN 14 642;NI-Cd;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;WA 6;Bosch;HKE 100 G;;12;;71649;DIN 14 642;NI-Cd;1999;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
Handscheinwerfer, EX;WA 8;Bosch;HKE 100 G;;12;;69156;DIN 14 642;NI-Cd;;LF8;Signal- & Beleuchtungsgeräte;Signal- & Beleuchtungsgeräte;LB12;;;;;;
