name;inventoryNumber;manufacturer;articleType;description;inspectionInterval;value;serialNumber;din;specification;manufacturingDate;warehouse;deviceClass;deviceSubclass;designationLB;commissionedDate;decommissionedDate;communityInventoryNumber;mpFeuerInventoryNumber;retirementPeriodMonths;pruefgrundsaetze
Kabeltrommel 50 m;13215;Eisemann;50m 5x2,5²;;12;;73141;DIN VDE 0702-1;;2014;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Kabeltrommel 50 m;120240;Bosch;50m 3x2,5²;;12;;7 791 021 119;DIN VDE 0702-1;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Trennschleifmaschine;13218;;;;;;;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Lichtmast;120241;;;;12;;;;;1989;SA;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Kabeltrommel 50 m;120242;;;;12;120;;DIN VDE 0702-1;;1999;GH;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Industriesauger;120243;;;;;400;;;;;GH;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Verlängerungskabel 380 V;120244;;;;;100;;;;;GH;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
400 V - Verteiler;120245;;;;;180;;;;;GH;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
DI-Schalter;DI 1;Kopp;PRCD-S;IP 55;12;;;DIN VDE 0702-1;16A, 230V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Hochleistungsfräse;120246;Milwaukee;HD 18SG;;12;;4000417821;;18 V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Säbelsäge;120247;Milwaukee;HD 18SX;;12;;4000431278;;18 V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Bohrschrauber;120248;Milwaukee;HD 18PD;;12;;4000431526;;18 V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku;120249;Milwaukee;M18 BX;;12;;9559;;18V, 3Ah;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku;120250;Milwaukee;M 18 BX;;12;;8891;;18V, 3Ah;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku;120251;Milwaukee;M18 BX;;12;;57830;;18 V, 3Ah;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku;120252;Milwaukee;C 18 B;;12;;4932352071;;18 V, 3Ah;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku Ladegerät;120253;Milwaukee;C 1418 C;;12;;400041900083967;;14.4-18V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Akku Ladegerät;120254;Milwaukee;C 1418 C;;12;;400041900016779;;14.4-18V;2013;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
LED;1;Westfalia;6 x 3W, 12V;;12;;;;IP66;;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Elektrotrennschleifer;13218;Bosch;GWS 2000-23J;;12;;;;;1999;LF8;Elektrische Geräte;Elektrische Geräte;LB12;;;;;;
Ladegerätlampen;13237;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Telefon;13238;;;;0;40;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Fax-Gerät;13239;;;;0;100;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Glasschaukasten;120255;;;;0;500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
AEG-Lichtleisten;120256;;;;0;1400;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Radio;120257;;;;0;250;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Verstärker;120258;;;;0;600;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
DVD-Spieler;120259;;;;0;70;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Boxen;120260;;;;0;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Möbeltresor;120261;;;;0;700;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühlzelle;120262;;;;0;2500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Stativ Boxen;120263;;;;0;100;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Sackkarren;120264;;;;0;250;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Gabelhubwagen;120265;;;;0;650;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Zeltgarnituren;120266;;;;0;750;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Rostwurstbude;120267;;;;0;500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Geschirr;120268;;;;0;5000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kleiderständer;120269;;;;0;100;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Holzregale;120270;;;;0;200;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Baustützen 4m;120271;;;;0;400;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühltruhen;120272;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Transportwagen;120273;;;;0;60;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Transportwagen, groß;120274;;;;0;900;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Holztheken;120275;;;;0;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Hängesteckdose 3fach;120276;;;;0;100;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Friteuse groß;120277;;;;0;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Friteuse klein;120278;;;;0;200;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Trinkwasserschlauch;120279;;;für Vereinsfeste;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kaffeemaschine;120280;;;;0;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Blechspint;120281;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Holzschrank;120282;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Metallregale;120283;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühltruhe;120284;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Boiler;120285;;;;0;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Einbauküche;13246;;;Fw zur Verfügung gestellt;0;4300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Theke;13247;;;Fw zur Verfügung gestellt;0;2000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühlung;120286;;;Fw zur Verfügung gestellt;0;3000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Geschirrspüler;13248;;;Fw zur Verfügung gestellt;0;400;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Tisch;120287;;;Fw zur Verfügung gestellt;0;1000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Stühle;120288;;;Fw zur Verfügung gestellt;0;1200;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Barhocker;120289;;;Fw zur Verfügung gestellt;0;420;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Beamer;13249;;;Fw zur Verfügung gestellt;0;2000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
DVD-Player;13250;;;Fw zur Verfügung gestellt;0;140;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kopierer;13251;;;Fw zur Verfügung gestellt;0;3000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Sat-Anlage;120290;;;Fw zur Verfügung gestellt;0;150;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Overhead-Projektor;13252;;;Fw zur Verfügung gestellt;0;290;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Doppelschiebetafel;13253;;;Fw zur Verfügung gestellt;0;2000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Elektroleinwand;13254;;;Fw zur Verfügung gestellt;0;1500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Videorecorder;13255;;;Fw zur Verfügung gestellt;0;80;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
ISDN-Telefon;13256;;;Fw zur Verfügung gestellt;0;50;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Analog-Telefon;120291;;;Fw zur Verfügung gestellt;0;40;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Notstrombeleuchtung;120292;;;Fw zur Verfügung gestellt;0;220;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Abzugshaube Küche;120293;;;;;2000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Deckenheizer;120294;;;;;1500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Notstrombeleutung 2fach;120295;;;;;320;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Hängeschränke;120296;;;;;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
E-Herd;120297;;;;;250;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Spülmaschine;120298;;;;;1500;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Unterschränke;120299;;;;;250;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Einkocher;120300;;;;;180;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühlschrank;120301;;;;;800;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Kühltheke;120302;;;;;1000;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Regalsystem;120303;;;;;400;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Gasgrill;120304;;;;;300;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Gasflasche;120305;;;;;50;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Schreibtische;120306;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Telefonanlage;120307;;;;;;;;;;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Bürostühle;120308;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Aktenschrank;120309;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Computeranlage;120310;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Präsentationsschrank;120311;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Funktisch;120312;;;;;;;;;1980;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Desktop PC Optiplex 7010;120313;Dell;DELL7010;;;135;;;Intel Core i3 2x 3,4GHz 4GB RAM 250GB HDD;2018;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Desktop PC Medion Akoya P7300D;120314;Medion;MD8838;;;0;;;Intel Core 2 Quad CPU Q8200 2.33GHz, 4GB RAM, 100 GB HDD;2017;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
DELL P2211H;120315;Dell;DELP2211H;;;0;;;22'' Monitor 1920x1080;2019;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Samsung Sysncmaster B2240;120316;Samsung;B2240;;;0;;;22'' Monitor 1680x1050;2019;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Samsung SCX 3200;120317;Samsung;SCX3200;;;0;;;Samsung Mono Laser Drucker;2016;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Lexmark X264dn;120318;Lexmark;X264dn;;;0;;;Lexmark Mono Laser Drucker;2017;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Rpi Media Box;120319;RaspberryPI;RPIM1;;;0;;;RaspberryPI 1 Model A, 256MB RAM, SD card;2015;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Rpi Music Box;120320;RaspberryPI;RPIM2;;;0;;;RaspberryPI 2 Model B, 1024MB RAM, microSD card;2018;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Network Switch 6fach;120321;Netgear;Netgear;;;0;;;10/100Mbit Network Switch, 6fach;2015;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Notebook;120322;Lenovo;Lenovo;;;0;;;;2019;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
Printer;120323;Brother;Brother;;;0;;;;2019;GH;Geräte & Fahrzeuge im GH;Geräte & Fahrzeuge;LB12;;;;;;
